text,label
"Quel est le meilleur sac à dos pour une randonnée de 3 jours ?",0
"J'ai testé la tente Quechua 2 seconds, c'est super pratique.",0
"Conseils pour camper près de Aïn Draham en hiver ?",0
"BUY NOW! CHEAP TENTS AT WWW.SPAM-CAMP.COM",1
"FREE MONEY FOR CAMPERS! CLICK HERE!",1
"Looking for a hiking partner in Tunisia.",0
"Win a brand new RV! Just enter your credit card details.",1
"La cascade de Seni M'Tir est magnifique à visiter.",0
"CASINO ONLINE - BEST SLOTS - BIG WINS",1
"Subscribe to our newsletter for 50% off gear.",1
"URGENT: Your account has been compromised. Login at bit.ly/spam",1
"Quelles chaussures de marche recommandez-vous ?",0
"LOTTERY WINNER! YOU HAVE WON 1 MILLION DOLLARS!",1
"Je cherche un emplacement calme pour du camping sauvage.",0
"Get thousands of followers on Instagram fast!",1
"Best sleeping bags for cold weather camping.",0
"Make money from home while camping! Easy steps.",1
"Camping in the Sahara is a unique experience.",0
"Cheap Viagra - Order Now - No Prescription",1
"How to start a fire without matches?",0
"Your PayPal account is locked. Verify here.",1
"The Milky Way view from the desert is insane.",0
"Enlarge your tent size with this simple trick!",1
"Where can I find clean water in the Atlas mountains?",0
"Weight loss pills - Lose 10kg in 1 week - Guaranteed",1
"Don't forget to pack a first aid kit.",0
"Earn 500$ per day just by chatting! Sign up now.",1
"Is it safe to camp near the river during rainy season?",0
"Download free movies and music here - no virus.",1
"The sunset at Cap Serrat is the best in Tunisia.",0
"CLICK HERE for a FREE iPhone 15 giveaway!!!",1
"I love the peace and quiet of forest camping.",0
"Congratulations! You've been selected for a $1000 gift card!",1
"Any tips for keeping mosquitoes away at night?",0
"Hot singles in your area want to meet you NOW!",1
"The national park in Ichkeul is amazing for birdwatching.",0
"Invest in Bitcoin NOW - guaranteed 500% returns!",1
"What's the best water purification method for camping?",0
"You've won a luxury cruise! Claim your ticket now!",1
"Just came back from a great weekend at Zaghouan.",0
"WORK FROM HOME - earn $5000/week - no experience needed!",1
"The trail to Jebel Ressas is quite challenging but worth it.",0
"Get rich quick with this simple forex trading system!",1
"Has anyone tried hammock camping in Kroumirie forest?",0
"Limited time offer - Buy 1 Get 10 FREE!!!",1
"I recommend the Coleman stove for camp cooking.",0
"Secret formula to lose belly fat overnight!",1
"What permit do I need for camping in Bou Hedma?",0
"Nigerian prince needs your help transferring $10 million",1
"My family had an amazing time at the campsite near Tabarka.",0
"Unlock premium content FREE - just enter your credit card",1
"Meilleure période pour camper dans le sud tunisien ?",0
"ATTENTION: virus detected on your computer! Call now!",1
"Les étoiles dans le désert de Tozeur sont incroyables.",0
"Act now! Once in a lifetime opportunity - don't miss out!",1
"J'ai trouvé un super spot de camping sauvage près de Sejnane.",0
"You have 1 unread message from a HOT single nearby!",1
"Le matériel de camping Decathlon est très fiable.",0
"FREE trial - only $99.99/month after! Cancel anytime*",1
"Comment bien préparer son sac pour une randonnée ?",0
"Hack any WiFi password with this simple app!",1
"L'eau de source à Ain Soltan est très pure.",0
"Double your money in 24 hours! Guaranteed!",1
"Beautiful sunrise over the mountains this morning at camp.",0
"You have been selected for an exclusive offer! Reply YES",1
"Does anyone know a good camping spot near Bizerte?",0
"Miracle cure for all diseases - doctors hate this!",1
"We had a bonfire last night and it was magical.",0
"BREAKING: You must update your bank details immediately!",1
"La forêt de Feija est parfaite pour le camping d'été.",0
"Get a diploma from a prestigious university - no studying!",1
"Sharing my camping gear checklist for beginners.",0
"Your Amazon order has been delayed. Click to reschedule.",1
"The oasis near Douz is a must-visit camping destination.",0
"Want bigger muscles? Try this revolutionary supplement!",1
"Anyone interested in a group camping trip this weekend?",0
"Make $300 daily with automated forex robots!",1
"Just got new hiking boots - can't wait to break them in!",0
"EXCLUSIVE: secret banking loophole makes you rich!",1
"La plage de Sidi Ali el Mekki est idéale pour camper.",0
"FREE shipping on all orders! Use code SCAM2024!",1
"Where can I rent camping equipment in Tunis?",0
"Your computer is infected! Download our antivirus now!",1
"The camping community in Tunisia is growing fast.",0
"Congratulations! You are the 1,000,000th visitor! Claim prize!",1
"I prefer lightweight tents for solo hiking.",0
"Meet beautiful women/men in your area tonight!",1
"Has anyone tried the new MSR water filter?",0
"WARNING: Your social media account will be deleted!",1
"The coffee tastes so much better when brewed at camp.",0
"Lose weight while you sleep with this amazing pill!",1
"Quel réchaud de camping recommandez-vous pour l'hiver ?",0
"COPY MY TRADES - I made $50,000 last month!",1
"J'organise un weekend camping à Ain Draham, qui vient ?",0
"FREE Netflix premium accounts! No payment needed!",1
"The stars were incredible last night at the desert camp.",0
"Buy cheap designer bags - 90% off - best replicas!",1
"Comment éviter les serpents en camping ?",0
"Your WhatsApp is expiring! Pay $0.99 to renew!",1
"Magnifique lever de soleil au camping de Hammamet.",0
"Join our pyramid scheme and make millions!",1
"Avez-vous des conseils pour camper avec des enfants ?",0
"ALERT: Unauthorized login attempt on your account!",1
"Le camping en Tunisie est une expérience unique et abordable.",0
"Click here to win a new car! No purchase necessary!",1
"What's the best headlamp for night hiking?",0
"Earn passive income doing nothing! Sign up now!",1
"I found a beautiful hidden waterfall during my hike.",0
"Your email has won the international lottery! Contact us!",1
"Quels sont les meilleurs campings en bord de mer ?",0
"Get a free smartphone just by completing this survey!",1
"We saw wild boars during our camping trip in Kroumirie.",0
"Transform your body in 7 days with this secret diet!",1
"Le matelas gonflable Thermarest est le meilleur pour le camping.",0
"Act fast! Only 2 spots left in our exclusive program!",1
"J'adore le camping en pleine nature, loin de tout.",0
"Stop paying for electricity! This device cuts your bill by 90%!",1
"Anyone know where to get firewood near the Medjerda river?",0
"FREE Bitcoin giveaway by Elon Musk! Send 1 BTC get 2 back!",1
"La randonnée au Jebel Zaghouan offre une vue magnifique.",0
"Get Instagram followers for FREE! 10k in 24 hours!",1
"Ce camping a les meilleures douches que j'ai vues.",0
"Your loan has been pre-approved! $50,000 available now!",1
"The beach camping at Korbous is simply wonderful.",0
"You need to verify your identity - click this link now!",1
"Quelqu'un a déjà essayé le camping en kayak en Tunisie ?",0
"Adult content - click here - 18+ only - free access!",1
"La cuisine en plein air fait partie du plaisir du camping.",0
"EARN FROM HOME: $2000/day with just a laptop!",1
"J'ai vu des flamants roses à Ichkeul pendant le camping.",0
"Cheap insurance - save 80% today - limited offer!",1
"Tips for setting up a tent in windy conditions?",0
"Congratulations! You qualify for government grant of $25,000!",1
"Nothing beats the smell of campfire in the morning.",0
"You have (1) package waiting at the post office. Pay $2 fee.",1
"Le sentier de randonnée de Zaghouan est bien balisé.",0
"Make your ex jealous with this one simple trick!",1
"I always bring extra socks when camping. Life changer.",0
"FINAL WARNING: Your account will be suspended in 24 hours!",1
"Les nuits étoilées en camping sont inoubliables.",0
"Sell products online and earn $10,000/month from day one!",1
"Super expérience de camping avec les scouts ce weekend !",0
"Get cheap medications online without prescription - fast delivery!",1
"Le parc national de Bouhedma abrite des espèces rares.",0
"You have been chosen for a secret shopper program! $500/day!",1
"Best portable solar panels for charging devices while camping?",0
"Unlock your phone for FREE with this secret code!",1
"Just discovered an amazing glamping spot near Sousse.",0
